trial_idx,score,batch_size,partition_strategy,partition_shards,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
0,-65728975.656,16,k_split,2,65473248,64970008,491720,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,4,mesh2d,table_based,wormhole,8,load_aware,nearest
1,-16297464.894,4,k_split,1,16280788,16242568,30920,4681,0,2805,0,0,837609,194,0,306.5353188239786,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,4,16,flat_butterfly,ugal,credit_vc,4,nearest,nearest
2,-65736546.756000005,16,k_split,7,65473020,64970008,491720,7638,0,161382,0,0,744324,956,0,878.8352490421456,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,8,mesh2d,table_based,wormhole,8,nearest,nearest
3,-65728975.656,16,k_split,2,65473248,64970008,491720,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,8,flat_butterfly,ugal,wormhole,4,load_aware,nearest
4,-16288081.612,4,col,2,16275192,16244218,15560,3449,5602,44196,0,0,190731,212,0,126.16941694169417,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,4,flat_butterfly,table_based,wormhole,1,load_aware,load_aware
5,-65728975.656,16,k_split,4,65473248,64970008,491720,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,8,flat_butterfly,xy,credit_vc,2,load_aware,nearest
6,-16280860.294,4,col,4,16274621,16247518,7880,4681,4206,13629,0,0,1229484,194,0,77.671826625387,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,8,mesh2d,table_based,wormhole,1,nearest,nearest
7,-16296692.894,4,expert,1,16279695,16242568,30920,4681,0,6015,0,0,503346,194,0,526.0917431192661,1.0,cube,16,27,5,torus2d,xy,credit_vc,4,16,flat_butterfly,ugal,credit_vc,8,nearest,nearest
8,-16282195.916000001,4,col,4,16276814,16247518,7880,3942,4206,6533,0,0,782979,216,0,60.507687669580946,0.49238769972867047,cube,16,27,5,torus2d,ugal,wormhole,4,8,mesh2d,table_based,wormhole,1,load_aware,round_robin
9,-16514554.493999999,4,col,7,16511165,16476468,4588,4681,4812,1591,0,0,869220,194,0,38.94140473418704,0.07717306946061311,cube,16,27,5,flat_butterfly,ugal,credit_vc,4,16,mesh2d,table_based,wormhole,4,nearest,nearest
10,-16296526.912,4,expert,1,16279214,16242568,30920,3449,0,11623,6,0,424704,212,0,352.5761967501098,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,2,4,flat_butterfly,xy,credit_vc,8,nearest,load_aware
11,-16279239.916000001,4,col,2,16269846,16244218,15560,3942,2802,8253,0,0,416475,216,0,241.5210589651023,1.0,cube,16,27,5,torus2d,table_based,credit_vc,4,8,flat_butterfly,ugal,wormhole,8,load_aware,round_robin
12,-16296287.016,4,expert,1,16279878,16242568,30920,3942,0,1604,0,0,698940,216,0,327.9477124183006,0.6552287581699346,cube,16,27,5,flat_butterfly,table_based,wormhole,4,4,mesh2d,table_based,wormhole,4,load_aware,round_robin
